,Date Time,Day of Week,Object 1,Object 2,Street Number,Street Name,Cross Street,Near Street,Location,May involve cyclist,May Involve Pedestrian,Manner of Collision,First Harmful Event Location,First Harmful Event,Ambient Light,Weather Condition 1,Weather Condition 2,Traffic Control Device Type,Traffic Control Device Functionality,Road Surface Condition,Roadway Junction Type,Trafficway Description,School Bus Related,Work Zone,Speed Limit,Street or Intersection,Intersection Name 1,Intersection Direction 1,Intersection Name 2,Intersection Direction 2,Intersection Name 3,Intersection Direction 3,Street Direction,Nearest Intersection Distance,Nearest Intersection Direction,Landmark Distance,Landmark Direction,Landmark,Mile Marker Direction,Non Public Area,Road Contributing,Damaged Property Type,Description of Damaged Property,V1 Registration Type,v1 State Code,V1 Configuration,V1 Emergency Response,V1 Moped,V1 Hit and Run,V1 Action Prior to Crash,V1 Model Year,V1 Most Harmful Event,V1 Model,V1 Make,V1 Occupant Count,V1 Underride Override,V1 First Event,V1 Second Event,V1 Third Event,V1 Fourth Event,V1 Most Damaged Area,V1 Second Damaged Area,V1 Third Damaged Area,V1 Towed,V1 Travel Direction,V1 Interstate,V1 Cargo Body Type,V1 Gross Weight,V1 Haz Placard,V1 Haz Release,V1 Trailer Reg Type,V1 Trailer Reg Plate,V1 Trailer Reg State,V1 Trailer Reg Year,V1 Trailer Len,V1 Driver Contribution,V1 Driver Contribution 2,V1 Is Truck,V1 Has Trailer,V1 Is Bus,V1 Is Hazmat,V1 Reg Year,V1 Driver Distracted,V1 Bus Use,V1 Tow Use,V2 Registration Type,V2 State Code,V2 Configuration,V2 Emergency Response,V2 Moped,V2 Hit and Run,V2 Action Prior to Crash,V2 Model Year,V2 Most Harmful Event,V2 Model,V2 Make,V2 Occupant Count,V2 Underride Override,V2 First Event,V2 Second Event,V2 Third Event,V2 Fourth Event,V2 Most Damaged Area,V2 Second Damaged Area,V2 Third Damaged Area,V2 Towed,V2 Travel Direction,V2 Interstate,V2 Cargo Body Type,V2 Gross Weight,V2 Haz Placard,V2 Haz Release,V2 Trailer Reg Type,V2 Trailer Reg Plate,V2 Trailer Reg State,V2 Trailer Reg Year,V2 Trailer Len,V2 Driver Contribution,V2 Driver Contribution 2,V2 Is Truck,V2 Has Trailer,V2 Is Bus,V2 Is Hazmat,V2 Reg Year,V2 Driver Distracted,V2 Bus Use,V2 Tow Use,P1 Role,P1 Injury,P1 Drivers Lic State,P1 Drivers Lic Class 1,P1 Drivers Lic Class 2,P1 Drivers Lic Restrict,P1 Non Motorist Desc,P1 Non Motorist Action,P1 Non Motorist Location,P1 Safety Equipment,P1 Age,P1 Sex,P1 Seat Position,P1 Safety System,P1 Trapped,P1 Veh Owner,P2 Role,P2 Injury,P2 Drivers Lic State,P2 Drivers Lic Class 1,P2 Drivers Lic Class 2,P2 Drivers Lic Restrict,P2 Non Motorist Desc,P2 Non Motorist Action,P2 Non Motorist Location,P2 Safety Equipment,P2 Age,P2 Sex,P2 Seat Position,P2 Safety System,P2 Trapped,P2 Veh Owner
6879,08/29/2018 08:45:00 PM,Wednesday,"SINGLE UNIT TRUCK (2 AXLES, 6 TIRES)",,,MASSACHUSETTS AVE,WENDELL/ SHEPARD STREET,,"MASSACHUSETTS AVE
Cambridge, MA",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DARK - LIGHTED ROADWAY,CLEAR,,TRAFFIC CONTROL SIGNAL,YES,DRY,T-INTERSECTION,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO,NO,25,INTERSECTION,MASSACHUSETTS AVE,NORTHBOUND,WENDELL/ SHEPARD STREET,WESTBOUND,,,,,,,,,,,NONE,,,PAN,IL,"SINGLE UNIT TRUCK (2 AXLES, 6 TIRES)",N,,,TRAVELING STRAIGHT AHEAD,2005.0,COLLISION WITH PEDALCYCLE,M2106,FREIGHTLINER,2.0,,COLLISION WITH PEDALCYCLE,,,,RIGHT SIDE,,,N,NORTHBOUND,,,,,,,,,,,NO IMPROPER DRIVING,,,,,,,NOT DISTRACTED,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,FLORIDA,"D, CLASS D VEHICLES",,UNKNOWN,,,,,,MALE,,,,,NON-MOTORIST,NON FATAL INJURY - NON INCAPACITATING,,,,,CYCLIST,OTHER,IN ROADWAY,HELMET,,MALE,,,,
6900,09/26/2018 06:00:00 PM,Wednesday,PASSENGER CAR,,9-10,DANA STREET,,MASSACHUSETTS AVE,"9 10 DANA STREET
Cambridge, MA
(42.370149, -71.110044)",1.0,,ANGLE,ROADSIDE,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,NO CONTROLS,,DRY,NOT AT INTERSECTION,"ONE-WAY, NOT DIVIDED",NO,NO,25,NON INTERSECTION,,,,,,,WESTBOUND,,NORTHBOUND,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,PARKED,2012.0,COLLISION WITH PEDALCYCLE,CIVIC,HONDA,1.0,,COLLISION WITH PEDALCYCLE,,,,UNKNOWN,,,N,WESTBOUND,,,,,,,,,,,OTHER IMPROPER ACTION,,,,,,,UNKNOWN,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,UNKNOWN,,,,,,MALE,,,,Y,NON-MOTORIST,NON FATAL INJURY - NON INCAPACITATING,MASSACHUSETTS,"D, CLASS D VEHICLES",,UNKNOWN,CYCLIST,"WALKING, RUNNING OR CYCLING",UNKNOWN,UNKNOWN,,MALE,,,,
7058,09/19/2017 10:34:00 AM,Tuesday,PASSENGER CAR,,2401,MASS AVE,,CAMERON AVE,"2401 MASS AVE
Cambridge, MA
(42.397022, -71.129743)",1.0,,"SIDESWIPE, SAME DIRECTION",ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLOUDY,CLOUDY,TRAFFIC CONTROL SIGNAL,YES,DRY,FOUR WAY INTERSECTION,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO,NO,0,NON INTERSECTION,,,,,,,WESTBOUND,,SOUTHBOUND,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,SLOWING OR STOPPED IN TRAFFIC,2013.0,COLLISION WITH PEDALCYCLE,FUSSION,FORD,3.0,,COLLISION WITH PEDALCYCLE,,,,RIGHT SIDE,,,N,WESTBOUND,,,,,,,,,,,NO IMPROPER DRIVING,,,,,,,NOT DISTRACTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,,,,,,FEMALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,Y,NON-MOTORIST,NON FATAL INJURY - NON INCAPACITATING,,"D, CLASS D VEHICLES",,,CYCLIST,"WALKING, RUNNING OR CYCLING",IN ROADWAY,HELMET,,MALE,,,,
7111,10/27/2017 01:47:00 PM,Friday,PASSENGER CAR,,77,MASS AVE,,,"77 MASS AVE
Cambridge, MA
(42.358969, -71.093527)",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,NO CONTROLS,,DRY,NOT AT INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,25,NON INTERSECTION,,,,,,,WESTBOUND,,,,,,,,NONE,,,PAN,IL,PASSENGER CAR,N,,,PARKED,2017.0,COLLISION WITH PEDALCYCLE,IMPALA,CHEVY,1.0,,COLLISION WITH PEDALCYCLE,,,,LEFT SIDE,,,N,WESTBOUND,,,,,,,,,,,OTHER IMPROPER ACTION,,,,,,,UNKNOWN,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,,,,,,MALE,,,,,UNINVOLVED OWNER,,,,,,,,,,,UNKNOWN,,,,Y
7120,10/04/2018 06:52:00 PM,Thursday,PASSENGER CAR,,,MASSACHUSETTS AVE,TROWBRIDGE STREET,,"MASSACHUSETTS AVE
Cambridge, MA",1.0,,"SIDESWIPE, SAME DIRECTION",ROADWAY,COLLISION WITH PEDALCYCLE,DUSK,CLEAR,CLOUDY,TRAFFIC CONTROL SIGNAL,YES,DRY,Y-INTERSECTION,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO,NO,25,INTERSECTION,MASSACHUSETTS AVE,WESTBOUND,TROWBRIDGE STREET,EASTBOUND,,,,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,TURNING RIGHT,2006.0,COLLISION WITH PEDALCYCLE,COOPER,MNNI,1.0,,COLLISION WITH PEDALCYCLE,,,,NONE,,,N,EASTBOUND,,,,,,,,,,,UNKNOWN,,,,,,,MANUALLY OPERATING AN ELECTRONIC DEVICE,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,Y,NON-MOTORIST,NO INJURY,,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",SHARED-USE PATH OR TRAILS,HELMET,,MALE,,,,
7121,10/31/2017 06:35:00 PM,Tuesday,PASSENGER CAR,,,MASS AVE,MELLEN STREET,,"MASS AVE
Cambridge, MA",1.0,,SINGLE VEHICLE CRASH,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,NO CONTROLS,NO,DRY,FOUR WAY INTERSECTION,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO,NO,25,INTERSECTION,MASS AVE,NORTHBOUND,MELLEN STREET,WESTBOUND,,,,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,TURNING LEFT,2002.0,COLLISION WITH PEDALCYCLE,RSX,ACURA,1.0,,COLLISION WITH PEDALCYCLE,,,,RIGHT FRONT,,,N,WESTBOUND,,,,,,,,,,,FAILED TO YIELD THE RIGHT OF WAY,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,,,,,,FEMALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,Y,NON-MOTORIST,NON FATAL INJURY - NON INCAPACITATING,VERMONT,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",SHARED-USE PATH OR TRAILS,HELMET,,FEMALE,,,,
7125,02/24/2019 07:08:00 PM,Sunday,PASSENGER CAR,,1525,MASSACHUSETTS AVE,,WATERHOUSE AVE,"1525 MASSACHUSETTS AVE
Cambridge, MA
(42.375623, -71.119267)",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DARK - LIGHTED ROADWAY,RAIN,,NO CONTROLS,,WET,NOT AT INTERSECTION,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO,NO,25,NON INTERSECTION,,,,,,,NORTHBOUND,,,,,,,,NONE,,,PAN,FL,PASSENGER CAR,N,,,SLOWING OR STOPPED IN TRAFFIC,2016.0,COLLISION WITH PEDALCYCLE,COROLLA,TOYOTA,3.0,,COLLISION WITH PEDALCYCLE,,,,NONE,,,N,NORTHBOUND,,,,,,,,,,,OTHER IMPROPER ACTION,,,,,,,NOT DISTRACTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,FLORIDA,UNKNOWN,,UNKNOWN,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",SHOULDER AND LAP BELT USED,NOT TRAPPED,Y,NON-MOTORIST,NON FATAL INJURY - NON INCAPACITATING,,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",IN ROADWAY,HELMET,,MALE,,,,
7129,03/27/2018 10:49:00 AM,Tuesday,PASSENGER CAR,,,MASSACHUSETTS AVE,WASHBURN AVE,,"MASSACHUSETTS AVE
Cambridge, MA",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,NO CONTROLS,,DRY,T-INTERSECTION,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO,NO,25,INTERSECTION,MASSACHUSETTS AVE,EASTBOUND,WASHBURN AVE,NORTHBOUND,,,,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,TURNING LEFT,2011.0,COLLISION WITH PEDALCYCLE,C300,MERCEDES,1.0,,COLLISION WITH PEDALCYCLE,,,,RIGHT SIDE,,,N,NORTHBOUND,,,,,,,,,,,NO IMPROPER DRIVING,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,UNKNOWN,,UNKNOWN,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,,NON-MOTORIST,NON FATAL INJURY - POSSIBLE,,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",IN ROADWAY,NONE USED,,MALE,,,,
7135,02/07/2018 07:30:00 PM,Wednesday,PASSENGER CAR,,,MASS AVE,,WATERHOUSE ST,,1.0,,REAR-END,UNKNOWN,COLLISION WITH MOTOR VEHICLE IN TRAFFIC,UNKNOWN,UNKNOWN,,NO CONTROLS,,UNKNOWN,NOT AT INTERSECTION,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO,NO,25,NON INTERSECTION,,,,,,,SOUTHBOUND,,,,,,,,UNKNOWN,,,PAN,MA,PASSENGER CAR,N,,Y,UNKNOWN,2005.0,COLLISION WITH PEDALCYCLE,DEVILLE,CCADILLAC,,,COLLISION WITH PEDALCYCLE,,,,UNKNOWN,,,N,SOUTHBOUND,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON-MOTORIST,NO INJURY,,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",IN ROADWAY,HELMET,,MALE,,,,,UNINVOLVED OWNER,,,,,,,,,,,FEMALE,,,,Y
7199,05/25/2017 05:54:00 PM,Thursday,PASSENGER CAR,,,MASS AVE,,SOMERVILLE AVE,,1.0,,ANGLE,ROADWAY,COLLISION WITH OTHER MOVABLE OBJECT,DUSK,RAIN,CLOUDY,NO CONTROLS,,WET,DRIVEWAY,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO,NO,25,NON INTERSECTION,,,,,,,NORTHBOUND,,,,,PORTER SQUARE SHOPPING PLAZA EXIT,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,TURNING RIGHT,2005.0,COLLISION WITH OTHER MOVABLE OBJECT,ALTIMA,NISSAN,1.0,,COLLISION WITH OTHER MOVABLE OBJECT,,,,LEFT FRONT,,,N,NORTHBOUND,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,UNKNOWN,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,,NON-MOTORIST,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,,CYCLIST,"WALKING, RUNNING OR CYCLING",IN ROADWAY,HELMET,,MALE,,,,
7206,02/14/2019 05:44:00 PM,Thursday,PASSENGER CAR,,,MASS AVE,BLAKE STREET,,"MASS AVE
Cambridge, MA",1.0,,ANGLE,ROADWAY,COLLISION WITH OTHER MOVABLE OBJECT,DARK - LIGHTED ROADWAY,CLEAR,,NO CONTROLS,,DRY,T-INTERSECTION,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO,NO,25,INTERSECTION,MASS AVE,NORTHBOUND,BLAKE STREET,WESTBOUND,,,,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,TURNING LEFT,1999.0,COLLISION WITH OTHER MOVABLE OBJECT,ACCORD,HONDA,2.0,,COLLISION WITH OTHER MOVABLE OBJECT,,,,NONE,,,N,EASTBOUND,,,,,,,,,,,MADE AN IMPROPER TURN,,,,,,,NOT DISTRACTED,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,UNKNOWN,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,Y,NON-MOTORIST,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,UNKNOWN,CYCLIST,ENTERING OR CROSSING SPECIFIED LOCATION,SHARED-USE PATH OR TRAILS,HELMET,,FEMALE,,,,
7311,04/05/2018 09:08:00 PM,Thursday,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,,MASSACHUSETTS AVENUE,DAVENPORT STREET,,"MASSACHUSETTS AVENUE
Cambridge, MA",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,NO CONTROLS,,DRY,T-INTERSECTION,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO,NO,25,INTERSECTION,MASSACHUSETTS AVENUE,NORTHBOUND,DAVENPORT STREET,EASTBOUND,,,,,,,,,,,NONE,,,PAN,MA,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",N,,,TURNING RIGHT,2015.0,COLLISION WITH PEDALCYCLE,RAV4,TOYOTA,2.0,,COLLISION WITH PEDALCYCLE,,,,RIGHT SIDE,,,N,NORTHBOUND,,,,,,,,,,,NO IMPROPER DRIVING,,,,,,,NOT DISTRACTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",SHOULDER AND LAP BELT USED,NOT TRAPPED,,OCCUPANT/PASSENGER,NO INJURY,,"D, CLASS D VEHICLES",,NONE,,,,,,FEMALE,FRONT SEAT - RIGHT SIDE,SHOULDER AND LAP BELT USED,NOT TRAPPED,Y
7387,08/18/2020 09:42:00 AM,Tuesday,TRACTOR / SEMI-TRIALER,,1401,MASSACHUSETTS AVENUE,,DUNSTER ST,"1401 MASSACHUSETTS AVENUE
Cambridge, MA
(42.373976, -71.118878)",1.0,,"SIDESWIPE, SAME DIRECTION",ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,TRAFFIC CONTROL SIGNAL,YES,DRY,NOT AT INTERSECTION,"ONE-WAY, NOT DIVIDED",NO,NO,25,NON INTERSECTION,,,,,,,NORTHBOUND,,SOUTHBOUND,,,HARVARD SQUARE PIT,,,NONE,,,APN,NM,TRACTOR / SEMI-TRIALER,N,,,TRAVELING STRAIGHT AHEAD,2001.0,COLLISION WITH PEDALCYCLE,TT,KENWOOD,1.0,,COLLISION WITH PEDALCYCLE,,,,NONE,,,Y,NORTHBOUND,,,,,,TRL,6672FTG,NEW MEXICO,2005,,UNKNOWN,,,Y,,,,UNKNOWN,,YES OTHER REASON NOT DISABLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,UNKNOWN,NEW MEXICO,"A, CLASS A VEHICLES",,NONE,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,Y,NON-MOTORIST,FATAL INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,CYCLIST,"WALKING, RUNNING OR CYCLING",IN ROADWAY,UNKNOWN,,MALE,,,,
7394,01/17/2020 08:01:00 PM,Friday,PASSENGER CAR,,,MASSACHUSETTS AVE,,HANCOCK STREET,,1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DUSK,CLOUDY,,TRAFFIC CONTROL SIGNAL,YES,DRY,NOT AT INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,25,NON INTERSECTION,,,,,,,NORTHBOUND,,EASTBOUND,,,,,,NONE,,,PAN,MB,PASSENGER CAR,N,,Y,TURNING LEFT,1995.0,COLLISION WITH PEDALCYCLE,CIVIC,HONDA,1.0,,COLLISION WITH PEDALCYCLE,,,,UNKNOWN,,,N,EASTBOUND,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON-MOTORIST,NO APPARENT INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,UNKNOWN,CYCLIST,"WALKING, RUNNING OR CYCLING",SHOULDER,HELMET,,FEMALE,,,,,WITNESS,,,,,,,,,,,MALE,,,,
7508,10/29/2021 11:51:00 AM,Friday,PASSENGER CAR,,1945,MASSACHUSETTS AVE,,ALLEN STREET,"1945 MASSACHUSETTS AVE
Cambridge, MA
(42.389635, -71.120174)",1.0,,HEAD ON,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,NO CONTROLS,NO,DRY,NOT AT INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,20,NON INTERSECTION,,,,,,,WESTBOUND,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,PARKED,2020.0,COLLISION WITH PEDALCYCLE,RAV4,TOYT,1.0,,COLLISION WITH PEDALCYCLE,,,,NONE,,,N,WESTBOUND,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO APPARENT INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,,,,,,FEMALE,,,,Y,NON-MOTORIST,SUSPECTED MINOR INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,,,,,,FEMALE,,,,
7515,01/06/2021 12:08:00 PM,Wednesday,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,,ALBANY ST,MASSACHUSETTS AVE,,"ALBANY ST
Cambridge, MA",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,TRAFFIC CONTROL SIGNAL,YES,DRY,FOUR WAY INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,25,INTERSECTION,ALBANY ST,NORTHBOUND,MASSACHUSETTS AVE,EASTBOUND,,,,,,,,,,,NONE,,,PAN,NH,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",N,,,TURNING LEFT,2019.0,COLLISION WITH PEDALCYCLE,SIERRA,GMC,1.0,,COLLISION WITH PEDALCYCLE,,,,REAR CENTER,,,N,EASTBOUND,,,,,,,,,,,FAILED TO YIELD THE RIGHT OF WAY,INATTENTION,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO APPARENT INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,,UNINVOLVED OWNER,,,,,,,,,,,,,,,Y
7538,09/24/2021 06:00:00 PM,Friday,PASSENGER CAR,,,MASS AVE,BEECH STREET,,"MASS AVE
Cambridge, MA",1.0,,"SIDESWIPE, SAME DIRECTION",UNKNOWN,COLLISION WITH PEDALCYCLE,UNKNOWN,UNKNOWN,,TRAFFIC CONTROL SIGNAL,YES,UNKNOWN,T-INTERSECTION,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO,NO,25,INTERSECTION,MASS AVE,WESTBOUND,BEECH STREET,SOUTHBOUND,,,,,,,,,,,UNKNOWN,,,UNKOWN,,PASSENGER CAR,N,,Y,TRAVELING STRAIGHT AHEAD,,UNKNOWN,UNK,UNK,1.0,,COLLISION WITH PEDALCYCLE,,,,UNKNOWN,,,N,WESTBOUND,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON-MOTORIST,SUSPECTED SERIOUS INJURY,,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",IN ROADWAY,UNKNOWN,,MALE,,,,,,,,,,,,,,,,,,,,
7562,12/29/2021 05:00:00 PM,Wednesday,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,,MASSACHUSETTS AVE,DANA STREET,,"MASSACHUSETTS AVE
Cambridge, MA",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DARK - LIGHTED ROADWAY,CLOUDY,,STOP SIGNS,YES,DRY,T-INTERSECTION,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO,NO,25,INTERSECTION,MASSACHUSETTS AVE,WESTBOUND,DANA STREET,SOUTHBOUND,,,,,,,,,,,NONE,,,PAN,MA,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",N,,,ENTERING TRAFFIC LANE,2021.0,COLLISION WITH PEDALCYCLE,UX,LEXUS,1.0,,COLLISION WITH PEDALCYCLE,,,,RIGHT FRONT,,,N,SOUTHBOUND,,,,,,,,,,,NO IMPROPER DRIVING,,,,,,,UNKNOWN,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO APPARENT INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,Y,NON-MOTORIST,NO APPARENT INJURY,,,,,CYCLIST,ENTERING OR CROSSING SPECIFIED LOCATION,IN ROADWAY,HELMET,,FEMALE,,,,
7652,10/15/2019 09:25:00 AM,Tuesday,PASSENGER CAR,,,MASS AVE,PORTER RD,,"MASS AVE
Cambridge, MA",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,NO CONTROLS,,DRY,T-INTERSECTION,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO,NO,25,INTERSECTION,MASS AVE,EASTBOUND,PORTER RD,SOUTHBOUND,,,,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,TURNING LEFT,2005.0,COLLISION WITH PEDALCYCLE,FOREST,SUBA,2.0,,COLLISION WITH PEDALCYCLE,,,,NONE,,,N,SOUTHBOUND,,,,,,,,,,,VISIBILITY OBSTRUCTED,INATTENTION,,,,,,UNKNOWN,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,UNKNOWN,MASSACHUSETTS,"D, CLASS D VEHICLES",,CORRECTIVE LENSES,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",SHOULDER AND LAP BELT USED,NOT TRAPPED,Y,NON-MOTORIST,SUSPECTED MINOR INJURY,,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",IN ROADWAY,HELMET,,FEMALE,,,,
